nome_file;caratteristiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;discretizzatore;-5470161;2152272;-6431620;1387497;-8185582;-6239014;-6137367;-7294832;-5904798;-14383017;298010;-2621852;-10892935;-7867374;-10022847;5635647;17341547;26183046;-1638528;-332596;1860887;1125889;1587477;-760159;909793;-5603561;-810833;879487;-4716308;-5965275;-2112435;-2417928;-3264057;-3636402;-2492358;-15667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;media;-123;49;-145;31;-185;-140;-138;-164;-133;-325;7;-58;-246;-177;-226;128;393;594;-36;-7;42;26;36;-16;21;-126;-17;20;-106;-134;-47;-54;-73;-81;-56;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;picchi;31013;27454;27215;26611;26407;27420;26747;27825;27132;24865;27573;25208;27803;27275;27827;25871;27699;29127;27130;27372;26411;28551;28522;2871;27779;29888;10130;28408;27045;27127;26483;30562;25601;28728;25976;3123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;energia;1,93E+17;3,10E+17;2,67E+17;2,42E+17;3,47E+17;2,90E+17;3,00E+17;4,16E+17;3,63E+17;3,73E+17;2,60E+17;2,96E+17;4,13E+17;3,32E+17;3,38E+17;3,72E+17;4,64E+17;2,29E+17;2,66E+17;4,49E+17;4,54E+17;2,88E+17;1,58E+17;1,92E+15;8,93E+16;4,32E+17;5,42E+15;1,36E+17;4,70E+17;4,43E+17;2,17E+17;6,77E+16;3,76E+16;4,56E+16;2,70E+17;2,49E+15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;frequenzeH0;124549;463175;252328;37691;102992;164788;164406;518209;599277;403093;124438;80812;11190;314130;313769;866310;73972;795556;94542;182963;28603;190453;48991;49220;12780;101227;81633;197207;27137;92143;423779;6799;876563;442573;118150;49014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;frequenzeH1;21835;187426;243500;49596;3041;278656;186381;515686;231048;350007;201325;53373;2470;253526;304309;227381;27212;62243;2481;403320;6246;600233;1306;184;3754;9367;167433;105709;211278;338103;131338;3330;644954;261685;352885;44859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;frequenzeH2;9696;185275;52612;51288;984;254507;361584;241332;104199;193787;229289;35074;1401;131455;279734;125900;13812;87778;8783;135727;2794;135357;320;27;280;4273;76331;41257;117522;182584;63415;1404;123745;157193;258634;38540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;frequenzaFond;124549;463175;252328;51288;102992;278656;361584;518209;599277;403093;229289;80812;11190;314130;313769;866310;73972;795556;94542;403320;28603;600233;48991;49220;12780;101227;167433;197207;211278;338103;423779;6799;876563;442573;352885;49014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;posFreqFond;0;0;0;2;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motociclista_2.wav;pendenze;102714;275749;8828;25876;99951;113868;207183;2523;368229;53086;113609;27439;8720;60604;9460;638929;46760;733313;92061;267593;22357;464876;47685;49036;9026;91860;91102;91498;184141;245960;292441;3469;231609;180888;234735;4155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
