nome_file;caratteristiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
poesia_l'amore.wav;discretizzatore;252430;21456;581180;-368522;133206;-28133;368444;582293;120911;697179;-304049;244431;37400;-114075;354907;164004;217459;302521;192865;142435;-207738;-48309;507414;-76036;347992;20693;792937;-230548;412953;-41585;7123;598382;430008;-119186;700795;50797;-312358;210061;750333;241116;-26228;313742;70551;589547;742645;13792;134922;-330819;551947;4219;112032;475733;-13540;-36214;258259;184665;4702;;;;;
poesia_l'amore.wav;media;572.404;0.486531;131.787;-835.651;302.054;-0.637937;835.474;132.039;274.175;15.809;-689.454;554.265;0.848073;-258.673;804.778;371.891;493.104;685.989;437.336;322.982;-471.061;-109.544;11.506;-172.417;789.098;0.469229;179.804;-522.785;936.401;-0.942971;0.161519;135.688;975.075;-270.263;15.891;115.186;-708.295;476.329;170.144;546.748;-0.594739;711.433;15.998;133.684;16.84;0.312744;305.946;-750.156;125.158;0.0956689;254.041;107.876;-0.307029;-0.821179;585.621;418.741;0.106621;;;;;
poesia_l'amore.wav;picchi;12404;1297;26535;9927;20699;1680;27497;13971;14326;19793;18448;11847;12634;16346;15954;22511;11805;15626;8347;24917;22146;11054;5073;5955;24062;12684;13959;15868;15668;4583;2553;16478;13057;16335;10639;2734;14476;9592;14690;8005;7136;22339;13123;14817;16291;13024;13405;16091;14655;2652;18131;12151;13244;17497;11068;4712;536;;;;;
poesia_l'amore.wav;energia;1,92E+16;1,71E+14;6,71E+16;3,95E+16;2,09E+16;3,86E+14;5,56E+16;6,11E+16;5,00E+16;1,63E+16;6,47E+16;1,55E+16;4,28E+15;1,58E+16;7,87E+15;6,59E+16;3,52E+16;3,45E+16;3,97E+15;1,23E+16;5,81E+16;7,27E+15;1,17E+16;2,22E+15;9,26E+16;4,29E+16;3,99E+16;9,26E+16;2,97E+16;4,01E+15;1,68E+15;6,83E+16;5,06E+16;3,20E+15;1,99E+16;1,96E+15;3,98E+16;1,11E+16;5,17E+16;1,22E+16;7,47E+15;9,40E+16;6,42E+15;4,01E+16;3,12E+16;2,80E+16;2,08E+16;1,98E+16;2,84E+16;1,68E+15;3,55E+15;5,50E+15;3,61E+16;6,26E+16;2,00E+16;2,80E+15;3,39E+13;;;;;
poesia_l'amore.wav;frequenzeH0;3113;8027;7020;290478;48439;4973;6296;50313;370694;7103;221415;19929;9699;23470;9922;278891;241850;210698;28426;6653;2736;38854;20010;130115;121371;330013;77967;269879;107306;66325;6604;12395;36705;7873;78056;6775;34119;37386;2416;13112;16975;27706;171950;18865;18645;20397;22109;3073;471677;11925;3249;54275;55649;21975;7990;19904;1114;;;;;
poesia_l'amore.wav;frequenzeH4;232.13;601.179;141.425;30615.8;172.702;2569.68;2458.37;7816.77;23956.1;883.921;21951.7;2369.52;1495.7;29563.5;181.626;41091.7;17318.6;14556.2;11774.3;1204.32;1138.97;3133.04;4064.63;1920.11;5865.67;7618.33;567.621;33727.2;2983.81;6697.08;358.097;1886.79;1652.78;5620.95;11675.9;25772.2;1260.65;7800.85;2868.45;7545.27;2195.76;3729.27;24232.9;8838.56;1355.51;23293.9;3529.69;5437.33;28596.2;2979.32;619.277;534.007;2928.56;1163.09;2119.18;1363.21;200.267;;;;;
poesia_l'amore.wav;frequenzeH6;147.749;131.118;106.309;20421.1;749.26;1977.37;1223.02;8445.19;16245.1;285.069;15827.6;1450.77;982.394;24308.5;719.515;39694.8;10239.6;9134.66;9235.25;615.423;213.411;1743.09;3047.73;1229.99;2729.17;9141.57;6329.83;17668.9;3726.7;4444.11;301.787;889.058;1495.66;2667.89;8067.62;9211.91;860.228;16617.1;1415.99;4793.72;1933.57;2728.81;14291.2;5992.73;1073.75;18860;1861.51;2285.43;15345.3;770.671;54.654;3838.49;2577.9;773.98;913.06;1212.33;378.243;;;;;
poesia_l'amore.wav;posFreqFond;0;0;0;0;0;1;1;1;0;0;1;0;0;2;0;63;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;1;0;1;0;4;0;0;1;1;1;1;0;63;63;1;0;1;0;62;1;0;0;0;0;0;1;;;;;
poesia_l'amore.wav;pendenze;1475.78;6402.45;5994.89;27200;43668.6;7611.69;23512.7;59431.7;249852;6575.81;568458;5670.89;7173.55;24333.1;8670.22;338644;195846;140517;18931.9;11474.8;1247.54;29802.2;1089.63;107316;130293;269965;54609.8;143516;93864;29658.5;20476.1;9793.29;7341.87;28147;55161.9;11280.7;10327;21972.5;14818.4;21102.8;94859.7;37349.8;36647.5;62281.4;18993.2;112201;4147.39;57595.4;292277;11943.4;5932.69;51663.3;17157.4;17439.7;900.515;11597.9;3364.7;;;;;
propositi_di_lettura_per_il_2015.wav;discretizzatore;-3942;-25240;-17644;-17641;-12970;-8839;-25812;-33467;-15518;-16132;1319;-11993;-12309;-36745;9854;-20708;-19743;-17797;-25879;22068;-24409;-30489;-1455;7836;-56349;-15609;-14798;-18563;-17365;-13020;-40437;-6897;-18632;-8027;-38982;5439;-17096;-375;-26086;-41640;-129;7735;-16691;-44258;-15152;-25293;617;4567;-48007;-11809;-2815;-12515;-22437;-9964;-7189;-24014;-4480;;;;;
